run,layer,pair_type,metric,n_units,n_finite,mean,sd,ci95_low,ci95_high
run1,Attention contribution,Same-label non-overlap control,similarity,21,21,0.011274813357423608,0.016728603955991916,0.004937251711175204,0.01857440942056229
run1,Attention contribution,Shared 2.5 s overlap,similarity,23,23,0.9448147716314456,0.04947210722413243,0.9240469012648069,0.9638905259419441
run1,Attention weights,Same-label non-overlap control,similarity,21,21,0.016673650628938563,0.02237552896617409,0.008228759766421715,0.02650206687029871
run1,Attention weights,Shared 2.5 s overlap,similarity,23,23,0.9489909852471993,0.04906980982605966,0.9285001460408262,0.9670276499403929
run1,Conv,Same-label non-overlap control,similarity,21,21,0.22373083862209783,0.07527933516047833,0.1943781977784635,0.2571303469828781
run1,Conv,Shared 2.5 s overlap,similarity,23,23,0.9985359931969597,0.0011522908378728423,0.998067053354588,0.9989695400357195
run1,LSTM,Same-label non-overlap control,similarity,21,21,0.3210572567901141,0.08432757535405976,0.2867516755441454,0.35476074544774955
run1,LSTM,Shared 2.5 s overlap,similarity,23,23,0.9790470819358892,0.015559360638090039,0.9721107822832752,0.984345682997474
run2,Attention contribution,Same-label non-overlap control,similarity,8,8,0.009054905654893461,0.022356218806125955,0.00023453332684676418,0.025085397725423515
run2,Attention contribution,Shared 2.5 s overlap,similarity,12,12,0.9405118149100117,0.10936387001263077,0.8724856154213613,0.9893844862562279
run2,Attention weights,Same-label non-overlap control,similarity,8,8,0.031771136473467104,0.0745683757229283,0.0013590510211070493,0.08547625754311307
run2,Attention weights,Shared 2.5 s overlap,similarity,12,12,0.9445113557076636,0.0833455830183712,0.8964545714235043,0.987077644619999
run2,Conv,Same-label non-overlap control,similarity,8,8,0.32247178721033987,0.1310081425178969,0.2420011852174871,0.4079582952527541
run2,Conv,Shared 2.5 s overlap,similarity,12,12,0.9984066413402221,0.0008860997660099005,0.9979348918513079,0.998889306834333
run2,LSTM,Same-label non-overlap control,similarity,8,8,0.23952605628708856,0.17526157327300154,0.1429696635839074,0.367260004635395
run2,LSTM,Shared 2.5 s overlap,similarity,12,12,0.9629960962386854,0.03594568070481595,0.9423621750883276,0.9809602073289402
