condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_critical_time_bins,run1_shuffle_repeats,run1_swap_variants,run1_swap_source_bins,run1_swap_wrapped_destinations,run1_swap_destination_critical_overlap_mean,run2_critical_time_bins,run2_shuffle_repeats,run2_swap_variants,run2_swap_source_bins,run2_swap_wrapped_destinations,run2_swap_destination_critical_overlap_mean
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,80.73394495412845,69.44444444444444,0,0,,,,,,,,,,,,
ablate_l1,Ablate L1,1.0,fold01,73.70030581039755,69.95033473595825,71.26151626151628,57.885337376497745,83.33419814618014,75.71044372658167,83.5820895522388,85.89181286549707,63.41463414634146,70.47962648556876,62.87593984962406,69.92481648921967,3.799228072166443,80.73394495412845,66.66666666666666,7,10,974.0,20.0,0.0,0.0,0.0,0.0,2119.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold01,74.79612640163099,71.51811582807227,73.35434352798413,59.05478250069507,81.48214435557036,73.34184715303351,82.08955223880598,82.93128654970761,63.41463414634146,72.35780984719864,63.48684210526316,67.28694140911102,3.333254814147949,77.37003058103976,72.22222222222221,72,10,18944.0,20.0,0.0,0.0,0.0,0.0,2156.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.39887664942935,58.61269144179727,83.77080799009227,76.16295333119317,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,69.84338462352753,3.7876782417297363,80.73394495412845,68.05555555555556,0,1,0.0,20.0,0.0,0.0,0.0,0.0,200.0,20.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold01,74.1717635066259,70.84652252751852,72.29216048596066,58.10456055352301,83.65801877287308,75.36652667965078,82.83582089552239,80.5433723196881,63.41463414634146,73.67359932088286,64.80263157894737,68.93641650676727,3.7035648822784424,78.89908256880734,69.44444444444444,37,1,6494.0,20.0,0.0,0.0,0.0,0.0,126.0,20.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold01,72.7000509683996,67.72841943396372,69.00436452082356,55.69906807774639,82.23078143193186,73.2042809577022,83.5820895522388,81.53021442495127,63.41463414634146,74.66044142614601,55.07518796992481,66.90596640110016,3.489047586917877,80.1223241590214,65.27777777777779,51,4,12095.0,20.0,0.0,0.0,0.0,0.0,809.0,20.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01038002967834,3.8167110681533813,81.59509202453987,66.19718309859155,0,0,,,,,,,,,,,,
ablate_l1,Ablate L1,1.0,fold02,72.48768685734035,72.08646349680356,72.44809752646967,55.93235370776779,83.27051633639968,73.28169214214012,78.35820895522389,82.16093117408907,85.0,69.19567062818336,66.77631578947368,70.9653913974762,3.732909917831421,81.59509202453987,63.38028169014085,2,8,270.0,20.0,0.0,0.0,0.0,0.0,1470.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold02,74.60036291367838,74.55899096933103,74.51116526758815,59.97648662293458,83.59642351981614,73.73037471483389,78.35820895522389,86.00708502024291,85.0,69.19567062818336,70.34774436090225,71.61703705787659,3.685704231262207,81.59509202453987,67.6056338028169,39,8,9657.0,20.0,0.0,0.0,0.0,0.0,1486.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.36842790068118,73.12999795272843,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,71.69444859027863,3.741036295890808,81.59509202453987,66.19718309859155,1,1,108.0,20.0,0.0,0.0,0.0,0.0,138.0,20.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold02,73.74276332843688,73.39790742921524,73.64786700560379,57.950863955114784,82.43488138758825,71.58776304850323,78.35820895522389,82.16093117408907,82.5,70.80857385398981,70.34774436090225,71.01694643497467,3.4864732027053833,81.28834355828221,66.19718309859155,42,0,7833.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold02,74.11215760822606,73.28199264224781,73.5029161356894,58.53995577346588,82.8893374453667,71.31828134212171,78.35820895522389,84.13461538461539,85.0,72.78225806451613,68.75,71.187424659729,3.4832956790924072,83.43558282208589,64.7887323943662,46,3,10075.0,20.0,0.0,0.0,0.0,0.0,546.0,20.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.54487180709839,3.840157985687256,84.04907975460122,66.19718309859155,0,0,,,,,,,,,,,,
