condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_critical_time_bins,run1_shuffle_repeats,run1_swap_variants,run1_swap_source_bins,run1_swap_wrapped_destinations,run1_swap_destination_critical_overlap_mean,run2_critical_time_bins,run2_shuffle_repeats,run2_swap_variants,run2_swap_source_bins,run2_swap_wrapped_destinations,run2_swap_destination_critical_overlap_mean
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,80.73394495412845,69.44444444444444,0,0,,,,,,,,,,,,
ablate_l1,Ablate L1,1.0,fold01,75.08919469928645,71.59879579302145,73.13384932702498,59.71028054667717,84.6372659606923,77.31087972765165,83.5820895522388,84.03996101364523,63.41463414634146,73.70543293718166,66.44736842105263,71.11005187034607,3.937543272972107,80.73394495412845,69.44444444444444,7,10,974.0,0.0,0.0,0.0,0.0,0.0,2119.0,0.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold01,76.9367991845056,73.00301197864682,74.84976742361665,62.439646912993894,84.82123094994958,77.47976724979425,83.5820895522388,85.02680311890839,63.41463414634146,77.91808149405773,67.43421052631578,72.73370921611786,4.064936399459839,81.65137614678899,72.22222222222221,72,10,18944.0,0.0,0.0,0.0,0.0,0.0,2156.0,0.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.85589234639173,76.29350046391104,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,69.82254683971405,3.767662286758423,80.73394495412845,68.05555555555556,0,1,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold01,74.32466870540264,70.97090063697124,72.1588697597662,58.40192832803762,83.82279795686537,75.91042272714395,83.5820895522388,80.5433723196881,63.41463414634146,73.67359932088286,64.80263157894737,69.76987719535828,3.734819173812866,79.20489296636084,69.44444444444444,37,1,6494.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold01,74.78338430173292,71.29984800539229,72.87851333537697,59.112676826047654,84.31317433655317,76.98774872364702,83.5820895522388,81.53021442495127,63.41463414634146,74.66044142614601,65.78947368421052,70.38963735103607,3.8697376251220703,80.1223241590214,69.44444444444444,51,4,12095.0,0.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01038002967834,3.8167110681533813,81.59509202453987,66.19718309859155,0,0,,,,,,,,,,,,
ablate_l1,Ablate L1,1.0,fold02,73.89613756156571,73.9179653283054,73.65532530932357,58.526382723257605,83.81889110469582,73.3488489787481,78.35820895522389,84.08400809716599,85.0,69.19567062818336,70.34774436090225,72.39114046096802,3.890384793281555,81.59509202453987,66.19718309859155,2,8,270.0,0.0,0.0,0.0,0.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold02,74.69109133327572,74.65802888670513,74.67251260584763,59.72372733247039,84.19924840226571,73.81040013379615,78.35820895522389,84.6912955465587,85.0,69.49278438030561,69.03195488721803,72.77202010154724,3.9189579486846924,80.3680981595092,69.01408450704226,39,8,9657.0,0.0,0.0,0.0,0.0,0.0,1486.0,0.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.41977589870456,72.98450639421571,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.0101147890091,3.7817769050598145,81.59509202453987,66.19718309859155,1,1,108.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold02,73.4360148621792,73.48562672746084,73.5888728303779,57.45984347375351,83.19523222613114,72.69094924845088,78.35820895522389,81.17408906882591,85.0,69.82173174872666,69.3609022556391,71.53146862983704,3.7241076231002808,80.67484662576688,66.19718309859155,42,0,7833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold02,72.27166681068003,71.96620316856362,71.77330363659533,55.51010366887584,82.62799040165983,71.13399083147614,78.35820895522389,80.18724696356276,85.0,68.8348896434635,64.80263157894737,70.79419493675232,3.5997337102890015,79.75460122699386,64.7887323943662,46,3,10075.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.54487180709839,3.840157985687256,84.04907975460122,66.19718309859155,0,0,,,,,,,,,,,,
ablate_l1,Ablate L1,1.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.4546628609248,76.17589245953263,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.58444035053253,3.8607068061828613,84.04907975460122,66.19718309859155,4,5,556.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold03,74.04951179469455,69.45573351548569,70.32135402020072,57.67543964458526,83.71166007801901,75.06273026684602,82.83582089552239,80.56680161943319,70.0,79.20203735144312,56.39097744360902,72.56428301334381,3.709012508392334,81.90184049079755,66.19718309859155,51,6,13175.0,0.0,0.0,0.0,0.0,0.0,886.0,0.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.37862650907539,75.98850245009366,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.51251244544983,3.8355841636657715,84.04907975460122,66.19718309859155,1,1,103.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.33596259284035,75.95984950733546,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.53064715862274,3.8278788328170776,84.04907975460122,66.19718309859155,32,2,5613.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold03,74.50963449408104,69.78468088390673,70.92019269060003,58.41935141973495,84.32562956431684,75.7908829554254,82.83582089552239,81.55364372469636,70.0,80.18887945670627,57.377819548872175,73.25118780136108,3.8286166191101074,82.82208588957054,66.19718309859155,60,3,13203.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0
