condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_confusion_matrix,run2_confusion_matrix,run1_critical_time_bins,run2_critical_time_bins,run1_random_repeats,run2_random_repeats,run1_reset_events,run2_reset_events,run1_swap_variants,run2_swap_variants
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,80.73394495412845,69.44444444444444,0,0,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold01,74.394750254842,70.90186230038904,72.62539638573396,58.33559281508052,83.63030820895561,76.30359997576302,83.5820895522388,80.33625730994152,63.41463414634146,75.31833616298812,66.44736842105263,70.07768452167511,3.803628921508789,80.73394495412845,68.05555555555556,7,10,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[21, 5, 1], [8, 21, 2], [2, 5, 7]]",974.0,2119.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold01,74.01885830784914,70.75160239135721,72.12822594855888,57.800581044508924,83.63969975730328,76.20543448982366,83.5820895522388,79.88547758284601,63.41463414634146,73.01570458404075,64.14473684210526,69.51402425765991,3.7218433618545532,78.59327217125383,69.44444444444444,72,10,"[[112, 20, 2], [30, 119, 3], [5, 10, 26]]","[[22, 4, 1], [8, 21, 2], [2, 5, 7]]",18944.0,2156.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.14729967581579,76.51029568228418,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.4972892999649,3.8452337980270386,80.73394495412845,69.44444444444444,0,1,"[[112, 20, 2], [25, 126, 1], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",0.0,200.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold01,74.63047910295617,71.19019888258529,72.38677618439345,58.899682229949214,84.0297744381619,76.14589172346453,83.5820895522388,81.20126705653021,63.41463414634146,74.33149405772495,65.46052631578948,70.09586095809937,3.764756679534912,79.81651376146789,69.44444444444444,37,1,"[[112, 20, 2], [26, 123, 3], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",6494.0,126.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold01,74.78338430173292,71.29984800539229,72.38490749788363,59.16505765649499,84.31612405982179,76.51555234958187,83.5820895522388,81.53021442495127,63.41463414634146,74.66044142614601,65.78947368421052,70.2316015958786,3.8420157432556152,80.1223241590214,69.44444444444444,51,4,"[[112, 20, 2], [24, 124, 4], [5, 10, 26]]","[[22, 3, 2], [8, 21, 2], [2, 5, 7]]",12095.0,809.0,20.0,20.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01038002967834,3.8167110681533813,81.59509202453987,66.19718309859155,0,0,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold02,74.60036291367838,74.45559973690754,74.47284989000605,59.492245096433564,83.70086271417168,73.54884156004664,78.35820895522389,84.08400809716599,85.0,70.80857385398981,70.34774436090225,72.32407927513123,3.85416042804718,81.59509202453987,67.6056338028169,2,8,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",270.0,1470.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold02,74.44698868054955,74.36067960074624,74.3630167354761,59.23281358218878,83.71263038495377,73.48951896899658,79.1044776119403,83.42611336032388,85.0,70.1506791171477,69.68984962406014,72.31235206127167,3.8710415363311768,81.28834355828221,67.6056338028169,39,8,"[[106, 26, 2], [22, 125, 5], [2, 4, 34]]","[[22, 4, 0], [10, 18, 3], [2, 4, 8]]",9657.0,1486.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.46581296892055,73.02580492610466,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,72.01029062271118,3.800716519355774,81.59509202453987,66.19718309859155,1,1,"[[105, 27, 2], [20, 127, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",108.0,138.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l4,Ablate L4,4.0,fold02,73.4360148621792,73.48562672746084,73.5888728303779,57.45984347375351,83.22858528295998,72.69912433520983,78.35820895522389,81.17408906882591,85.0,69.82173174872666,69.3609022556391,71.40483558177948,3.730556845664978,80.67484662576688,66.19718309859155,42,0,"[[105, 27, 2], [23, 124, 5], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",7833.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l5,Ablate L5,5.0,fold02,73.28264062905038,73.37597760465384,73.35330781194997,57.23205494163197,83.29430649985821,72.03062425737609,78.35820895522389,80.84514170040487,85.0,69.49278438030561,69.03195488721803,71.60297632217407,3.7485965490341187,80.3680981595092,66.19718309859155,46,3,"[[105, 27, 2], [23, 123, 6], [2, 4, 34]]","[[21, 5, 0], [10, 18, 3], [2, 4, 8]]",10075.0,546.0,20.0,20.0,0.0,0.0,0.0,0.0
baseline,Our Proposed,,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.54487180709839,3.840157985687256,84.04907975460122,66.19718309859155,0,0,"[[111, 21, 2], [17, 135, 0], [4, 8, 28]]","[[20, 5, 1], [6, 23, 2], [5, 5, 4]]",,,,,,,,
ablate_l1,Ablate L1,1.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.11427462938565,75.76078021461655,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,73.2793539762497,3.782373785972595,84.04907975460122,66.19718309859155,4,5,"[[111, 21, 2], [17, 135, 0], [4, 8, 28]]","[[20, 5, 1], [6, 23, 2], [5, 5, 4]]",556.0,971.0,20.0,20.0,0.0,0.0,0.0,0.0
ablate_l2,Ablate L2,2.0,fold03,74.50963449408104,69.78468088390673,71.05704298138508,58.40480139319859,83.92549158148094,75.16249125363936,82.83582089552239,81.55364372469636,70.0,80.18887945670627,57.377819548872175,72.67553508281708,3.671313762664795,82.82208588957054,66.19718309859155,51,6,"[[111, 21, 2], [21, 131, 0], [4, 8, 28]]","[[20, 5, 1], [6, 23, 2], [5, 5, 4]]",13175.0,886.0,20.0,20.0,0.0,0.0,0.0,0.0
