condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_replaced_time_bins,run2_replaced_time_bins,run1_replaced_neural_values,run2_replaced_neural_values
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,80.73394495412845,69.44444444444444,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold01,73.54740061162079,70.25457876897988,71.8209376947294,57.04999460207453,83.64713009953674,75.46884779299307,83.5820895522388,80.00730994152048,63.41463414634146,73.37648556876061,66.11842105263158,80.42813455657493,66.66666666666666,7,10,974,2119,11688.0,25428.0
ablate_l2,Ablate L2,2.0,fold01,72.87844036697248,70.05309686829028,71.07442537311147,56.0659562109593,82.36192204614602,73.64470343536361,83.5820895522388,77.78996101364523,63.41463414634146,69.06833616298812,60.19736842105263,74.92354740061162,70.83333333333334,72,10,18944,2156,227328.0,25872.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.88221977535865,76.12994671646095,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,80.73394495412845,68.05555555555556,0,1,0,200,0.0,2400.0
ablate_l4,Ablate L4,4.0,fold01,75.0191131498471,71.58818458758853,72.58825173733112,59.620526421709016,84.23335900030393,76.41214360849867,83.5820895522388,82.39522417153997,63.41463414634146,73.67359932088286,64.80263157894737,79.20489296636084,70.83333333333334,37,1,6494,126,77928.0,1512.0
ablate_l5,Ablate L5,5.0,fold01,72.86569826707441,69.23217883245997,70.14809611839456,56.06826716587449,82.51107279258636,74.03876149217095,83.5820895522388,78.89863547758284,63.41463414634146,72.0288624787776,59.58646616541354,77.67584097859327,68.05555555555556,51,4,12095,809,145140.0,9708.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,81.59509202453987,66.19718309859155,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold02,74.60036291367838,73.8027579550335,74.15925824693375,59.2242370603397,83.38088575052754,73.0474103687339,78.35820895522389,84.08400809716599,85.0,72.42147707979626,66.77631578947368,81.59509202453987,67.6056338028169,2,8,270,1470,3240.0,17640.0
ablate_l2,Ablate L2,2.0,fold02,74.38434286701806,74.4534596277368,74.32112920544475,59.25455418189733,84.08657311313311,73.89386124321678,79.1044776119403,83.70445344129554,85.0,68.50594227504244,68.04511278195488,79.75460122699386,69.01408450704226,39,8,9657,1486,115884.0,17832.0
ablate_l3,Ablate L3,3.0,fold02,73.19191220945304,73.27693968727975,73.33249901281306,57.236435067710545,83.05299194445499,72.62330819758144,78.35820895522389,82.16093117408907,85.0,69.19567062818336,70.34774436090225,81.59509202453987,64.7887323943662,1,1,108,138,1296.0,1656.0
ablate_l4,Ablate L4,4.0,fold02,72.66914369653503,72.93738111342577,73.01348083286115,56.198786452065576,83.04764094189167,72.44146714524334,78.35820895522389,79.52935222672065,85.0,68.1769949066214,67.71616541353384,79.14110429447852,66.19718309859155,42,0,7833,0,93996.0,0.0
ablate_l5,Ablate L5,5.0,fold02,71.7208156916962,70.88537610089443,70.80558651837873,54.46222369583343,80.64424778702309,69.25421862163002,78.35820895522389,80.51619433198381,85.0,69.16383701188455,61.560150375939855,80.06134969325154,63.38028169014085,46,3,10075,546,120900.0,6552.0
baseline,Our Proposed,,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold03,73.40793225611337,69.47816086176701,70.90600995196726,56.833404464663275,83.9740707786267,76.48721424220363,82.83582089552239,80.28846153846153,70.0,77.62096774193549,61.60714285714286,83.43558282208589,63.38028169014085,4,5,556,971,6672.0,11652.0
ablate_l2,Ablate L2,2.0,fold03,72.33431262421152,67.95438398782036,68.8775576079074,54.97939602667137,82.75728111128976,73.79227304017822,82.83582089552239,76.06275303643724,70.0,78.54414261460101,55.733082706766915,81.28834355828221,63.38028169014085,51,6,13175,886,158100.0,10632.0
ablate_l3,Ablate L3,3.0,fold03,75.27650565972522,70.63994404180148,71.83479164460448,59.72954543008644,84.14208774431074,75.38205528561211,82.83582089552239,82.86943319838058,72.5,81.5046689303905,58.693609022556394,84.3558282208589,66.19718309859155,1,1,103,103,1236.0,1236.0
ablate_l4,Ablate L4,4.0,fold03,74.66300872720988,69.89433000671376,71.07131282336925,58.74782926753628,84.18847237466647,74.68295353756737,82.83582089552239,81.88259109311741,70.0,80.51782682512734,57.70676691729324,83.12883435582822,66.19718309859155,32,2,5613,231,67356.0,2772.0
ablate_l5,Ablate L5,5.0,fold03,74.20288602782338,69.5653826382927,70.68241557148582,57.97431312543755,83.98501020700922,74.48431182498229,82.83582089552239,80.89574898785426,70.0,79.53098471986416,56.71992481203007,82.20858895705521,66.19718309859155,60,3,13203,374,158436.0,4488.0
