condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_replaced_time_bins,run2_replaced_time_bins,run1_replaced_neural_values,run2_replaced_neural_values
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,80.73394495412845,69.44444444444444,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold01,74.394750254842,71.06116138441931,72.55123991558195,58.710114029356944,84.5368535294581,77.23132558295141,83.5820895522388,84.03996101364523,63.41463414634146,72.0925297113752,66.44736842105263,80.73394495412845,68.05555555555556,7,10,974,2119,11688.0,25428.0
ablate_l2,Ablate L2,2.0,fold01,77.32543323139653,73.40099768365008,74.96022001119292,63.11994077547827,84.84865014884848,77.48311896449323,83.5820895522388,86.22076023391813,63.41463414634146,77.26018675721562,66.77631578947368,81.03975535168195,73.61111111111111,72,10,18944,2156,227328.0,25872.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.8422762855215,76.11249742272865,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,80.73394495412845,68.05555555555556,0,1,0,200,0.0,2400.0
ablate_l4,Ablate L4,4.0,fold01,74.47757390417941,71.08054975977826,72.27286514529084,58.650245987552864,83.97020694886675,76.12868101168266,83.5820895522388,80.87231968810917,63.41463414634146,74.0025466893039,65.13157894736842,79.51070336391437,69.44444444444444,37,1,6494,126,77928.0,1512.0
ablate_l5,Ablate L5,5.0,fold01,74.93628950050969,71.40949712819932,72.99122572517767,59.364220519133674,84.31957721239615,77.02896732256977,83.5820895522388,81.85916179337232,63.41463414634146,74.98938879456705,66.11842105263158,80.42813455657493,69.44444444444444,51,4,12095,809,145140.0,9708.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,81.59509202453987,66.19718309859155,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold02,74.60036291367838,74.45559973690754,74.47284989000605,59.492245096433564,83.97724207586512,73.5203728478186,78.35820895522389,84.08400809716599,85.0,70.80857385398981,70.34774436090225,81.59509202453987,67.6056338028169,2,8,270,1470,3240.0,17640.0
ablate_l2,Ablate L2,2.0,fold02,74.69109133327572,74.65802888670513,74.67251260584763,59.72372733247039,84.23306132199713,73.86572909899918,78.35820895522389,84.6912955465587,85.0,69.49278438030561,69.03195488721803,80.3680981595092,69.01408450704226,39,8,9657,1486,115884.0,17832.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.40370971544236,72.96264176232364,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,81.59509202453987,66.19718309859155,1,1,108,138,1296.0,1656.0
ablate_l4,Ablate L4,4.0,fold02,73.12926639592155,73.26632848184681,73.23791974706134,56.97849028964188,83.29399373098391,72.81894915186284,78.35820895522389,80.51619433198381,85.0,69.16383701188455,68.703007518797,80.06134969325154,66.19718309859155,42,0,7833,0,93996.0,0.0
ablate_l5,Ablate L5,5.0,fold02,72.27166681068003,71.96620316856362,71.77330363659533,55.51010366887584,82.57360003484987,71.06294639636535,78.35820895522389,80.18724696356276,85.0,68.8348896434635,64.80263157894737,79.75460122699386,64.7887323943662,46,3,10075,546,120900.0,6552.0
baseline,Our Proposed,,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.43261974795865,76.11605993314414,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,4,5,556,971,6672.0,11652.0
ablate_l2,Ablate L2,2.0,fold03,73.74276332843688,69.23643526987165,69.74040980211387,57.22011731451134,83.41744917705353,74.63488489798115,82.83582089552239,79.9089068825911,70.0,78.54414261460101,55.733082706766915,81.28834355828221,66.19718309859155,51,6,13175,886,158100.0,10632.0
ablate_l3,Ablate L3,3.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.37862650907539,75.98850245009366,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,1,1,103,103,1236.0,1236.0
ablate_l4,Ablate L4,4.0,fold03,74.96975719346756,70.1136282523278,71.39518486447079,59.1926859405041,84.2602847351299,75.86249553707867,82.83582089552239,82.54048582995952,70.0,81.17572156196943,58.36466165413533,83.74233128834356,66.19718309859155,32,2,5613,231,67356.0,2772.0
ablate_l5,Ablate L5,5.0,fold03,75.06048561306488,70.86550795157592,72.22376748323086,59.387046112518846,85.46986689179107,77.02034447201149,82.83582089552239,81.2246963562753,70.0,79.85993208828523,60.6203007518797,82.51533742331289,67.6056338028169,60,3,13203,374,158436.0,4488.0
