condition,display_name,target_raw_label,fold,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,run1_accuracy,run2_accuracy,run1_affected_windows,run2_affected_windows,run1_replaced_time_bins,run2_replaced_time_bins,run1_replaced_neural_values,run2_replaced_neural_values
baseline,Our Proposed,,fold01,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,80.73394495412845,69.44444444444444,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold01,74.394750254842,71.06116138441931,72.55123991558195,58.710114029356944,84.54305717312454,77.23001276442585,83.5820895522388,84.03996101364523,63.41463414634146,72.0925297113752,66.44736842105263,80.73394495412845,68.05555555555556,7,10,974,2119,11688.0,25428.0
ablate_l2,Ablate L2,2.0,fold01,77.17252803261978,73.29134856084303,74.91881277513674,62.89028758109872,84.61408788762682,77.17129656359681,83.5820895522388,85.89181286549707,63.41463414634146,76.93123938879457,66.44736842105263,80.73394495412845,73.61111111111111,72,10,18944,2156,227328.0,25872.0
ablate_l3,Ablate L3,3.0,fold01,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.8353668948318,76.20090787131846,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,80.73394495412845,68.05555555555556,0,1,0,200,0.0,2400.0
ablate_l4,Ablate L4,4.0,fold01,74.47757390417941,71.08054975977826,72.27286514529084,58.650245987552864,83.957396983157,76.09772200721956,83.5820895522388,80.87231968810917,63.41463414634146,74.0025466893039,65.13157894736842,79.51070336391437,69.44444444444444,37,1,6494,126,77928.0,1512.0
ablate_l5,Ablate L5,5.0,fold01,74.63047910295617,71.19019888258529,72.6340769213879,58.87361596247448,84.34247166788177,76.93057682069073,83.5820895522388,81.20126705653021,63.41463414634146,74.33149405772495,65.46052631578948,79.81651376146789,69.44444444444444,51,4,12095,809,145140.0,9708.0
baseline,Our Proposed,,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.52355927498368,73.08977594022288,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,81.59509202453987,66.19718309859155,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.6511675498755,73.17892668710466,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,81.59509202453987,66.19718309859155,2,8,270,1470,3240.0,17640.0
ablate_l2,Ablate L2,2.0,fold02,73.98686598116305,74.01700324567949,74.13845889232886,58.440127090176816,84.38823471169107,74.38579219349421,78.35820895522389,82.76821862348177,85.0,69.49278438030561,69.03195488721803,80.3680981595092,67.6056338028169,39,8,9657,1486,115884.0,17832.0
ablate_l3,Ablate L3,3.0,fold02,73.89613756156571,73.81457409588191,73.93354624417805,58.23150732986916,83.40370971544236,72.96264176232364,78.35820895522389,82.16093117408907,85.0,70.80857385398981,70.34774436090225,81.59509202453987,66.19718309859155,1,1,108,138,1296.0,1656.0
ablate_l4,Ablate L4,4.0,fold02,73.4360148621792,73.48562672746084,73.5888728303779,57.45984347375351,83.2739622009498,72.77303832792221,78.35820895522389,81.17408906882591,85.0,69.82173174872666,69.3609022556391,80.67484662576688,66.19718309859155,42,0,7833,0,93996.0,0.0
ablate_l5,Ablate L5,5.0,fold02,72.27166681068003,71.96620316856362,71.77330363659533,55.51010366887584,82.6236875953599,71.12580765902005,78.35820895522389,80.18724696356276,85.0,68.8348896434635,64.80263157894737,79.75460122699386,64.7887323943662,46,3,10075,546,120900.0,6552.0
baseline,Our Proposed,,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.40258251478181,76.07301369549795,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,0,0,0,0,,
ablate_l1,Ablate L1,1.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.45385870689483,76.14004814429185,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,4,5,556,971,6672.0,11652.0
ablate_l2,Ablate L2,2.0,fold03,74.04951179469455,69.45573351548569,70.19952164140443,57.69317639010312,83.53099090541488,74.79352691473406,82.83582089552239,80.56680161943319,70.0,79.20203735144312,56.39097744360902,81.90184049079755,66.19718309859155,51,6,13175,886,158100.0,10632.0
ablate_l3,Ablate L3,3.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.37862650907539,75.98850245009366,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,1,1,103,103,1236.0,1236.0
ablate_l4,Ablate L4,4.0,fold03,75.12313142659639,70.22327737513481,71.50789354715904,59.45818400683823,84.3450696541714,75.96758283310646,82.83582089552239,82.86943319838058,70.0,81.5046689303905,58.693609022556394,84.04907975460122,66.19718309859155,32,2,5613,231,67356.0,2772.0
ablate_l5,Ablate L5,5.0,fold03,75.36723407932256,71.08480619718995,72.44999422039575,59.908352172851856,85.4836171014347,76.97967649446935,82.83582089552239,81.88259109311741,70.0,80.51782682512734,61.278195488721806,83.12883435582822,67.6056338028169,60,3,13203,374,158436.0,4488.0
