architecture,fold,condition,target,metric,recomputed,saved,absolute_difference
full,fold01,baseline,2,accuracy,75.08919469928645,75.08919469928645,0.0
full,fold01,baseline,2,recall,71.51914625100633,71.51914625100633,0.0
full,fold01,baseline,2,f1,72.97326459669864,72.97326459669864,0.0
full,fold01,baseline,2,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,baseline,2,c1,82.18810916179336,82.18810916179336,0.0
full,fold01,baseline,2,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,baseline,2,c3,75.31833616298812,75.31833616298812,0.0
full,fold01,baseline,2,c4,66.44736842105263,66.44736842105263,0.0
full,fold01,baseline,3,accuracy,75.08919469928645,75.08919469928645,0.0
full,fold01,baseline,3,recall,71.51914625100633,71.51914625100633,0.0
full,fold01,baseline,3,f1,72.97326459669864,72.97326459669864,0.0
full,fold01,baseline,3,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,baseline,3,c1,82.18810916179336,82.18810916179336,0.0
full,fold01,baseline,3,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,baseline,3,c3,75.31833616298812,75.31833616298812,0.0
full,fold01,baseline,3,c4,66.44736842105263,66.44736842105263,0.0
full,fold01,baseline,5,accuracy,75.08919469928645,75.08919469928645,0.0
full,fold01,baseline,5,recall,71.51914625100633,71.51914625100633,0.0
full,fold01,baseline,5,f1,72.97326459669864,72.97326459669864,0.0
full,fold01,baseline,5,c0,83.5820895522388,83.5820895522388,0.0
full,fold01,baseline,5,c1,82.18810916179336,82.18810916179336,0.0
full,fold01,baseline,5,c2,63.41463414634146,63.41463414634146,0.0
full,fold01,baseline,5,c3,75.31833616298812,75.31833616298812,0.0
full,fold01,baseline,5,c4,66.44736842105263,66.44736842105263,0.0
no_conv,fold01,baseline,2,accuracy,67.3802242609582,67.3802242609582,0.0
no_conv,fold01,baseline,2,recall,67.48592612958927,67.48592612958927,0.0
no_conv,fold01,baseline,2,f1,67.16422908352364,67.16422908352364,0.0
no_conv,fold01,baseline,2,c0,81.34328358208955,81.34328358208955,0.0
no_conv,fold01,baseline,2,c1,67.2514619883041,67.2514619883041,0.0
no_conv,fold01,baseline,2,c2,73.17073170731707,73.17073170731707,0.0
no_conv,fold01,baseline,2,c3,65.28013582342953,65.28013582342953,0.0
no_conv,fold01,baseline,2,c4,71.61654135338347,71.61654135338347,0.0
no_conv,fold01,baseline,3,accuracy,67.3802242609582,67.3802242609582,0.0
no_conv,fold01,baseline,3,recall,67.48592612958927,67.48592612958927,0.0
no_conv,fold01,baseline,3,f1,67.16422908352364,67.16422908352364,0.0
no_conv,fold01,baseline,3,c0,81.34328358208955,81.34328358208955,0.0
no_conv,fold01,baseline,3,c1,67.2514619883041,67.2514619883041,0.0
no_conv,fold01,baseline,3,c2,73.17073170731707,73.17073170731707,0.0
no_conv,fold01,baseline,3,c3,65.28013582342953,65.28013582342953,0.0
no_conv,fold01,baseline,3,c4,71.61654135338347,71.61654135338347,0.0
no_conv,fold01,baseline,5,accuracy,67.3802242609582,67.3802242609582,0.0
no_conv,fold01,baseline,5,recall,67.48592612958927,67.48592612958927,0.0
no_conv,fold01,baseline,5,f1,67.16422908352364,67.16422908352364,0.0
no_conv,fold01,baseline,5,c0,81.34328358208955,81.34328358208955,0.0
no_conv,fold01,baseline,5,c1,67.2514619883041,67.2514619883041,0.0
no_conv,fold01,baseline,5,c2,73.17073170731707,73.17073170731707,0.0
no_conv,fold01,baseline,5,c3,65.28013582342953,65.28013582342953,0.0
no_conv,fold01,baseline,5,c4,71.61654135338347,71.61654135338347,0.0
no_lstm,fold01,baseline,2,accuracy,69.559123343527,69.559123343527,0.0
