architecture,architecture_label,target,target_label,fold,condition,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,stage2_macro_recall
full,Full,2,L2,fold01,baseline,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,74.65127124861137
full,Full,2,L2,fold01,maximum,72.87844036697248,70.05309686829028,71.07442537311147,56.0659562109593,82.36192204614602,73.64470343536361,83.5820895522388,77.78996101364523,63.41463414634146,69.06833616298812,60.19736842105263,67.84534156322479,3.380585193634033,69.01855519922866
full,Full,2,L2,fold01,attention_shuffle,74.49031600407747,71.29881758245824,73.1277604157148,58.565723869753015,81.49406483036924,73.34937608149535,82.08955223880598,82.2733918128655,63.41463414634146,71.69991511035653,62.82894736842105,67.27809309959412,3.328748941421509,72.26741809721436
full,Full,2,L2,fold01,attention_zero,76.9367991845056,73.00301197864682,74.84976742361665,62.439646912993894,84.82123094994958,77.47976724979425,83.5820895522388,85.02680311890839,63.41463414634146,77.91808149405773,67.43421052631578,72.73370921611786,4.064936399459839,76.79303171309397
full,Full,2,L2,fold01,random_window,72.26707441386341,69.56450268036055,70.42128456591992,55.10202822650553,82.04484573999909,73.1500234706793,83.4089552238806,76.4107456140351,63.414634146341456,68.41504668930389,59.54407894736842,67.13736773133277,3.3007272826433183,68.12329041690246
full,Full,3,L3,fold01,baseline,75.08919469928645,71.51914625100633,72.97326459669864,59.62845511980655,84.20146361329182,76.55756381566982,83.5820895522388,82.18810916179336,63.41463414634146,75.31833616298812,66.44736842105263,70.51322162151337,3.8527332544326782,74.65127124861137
full,Full,3,L3,fold01,maximum,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.88221977535865,76.12994671646095,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,69.82424557209015,3.775706648826599,74.11363684000922
full,Full,3,L3,fold01,attention_shuffle,74.394750254842,70.98151184240417,72.39887664942935,58.61269144179727,83.77080799009227,76.16295333119317,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,69.84412968158722,3.7880055904388428,74.11363684000922
full,Full,3,L3,fold01,attention_zero,74.394750254842,70.98151184240417,72.2470585993062,58.64949431035018,83.85589234639173,76.29350046391104,83.5820895522388,82.18810916179336,63.41463414634146,73.70543293718166,66.44736842105263,69.82254683971405,3.767662286758423,74.11363684000922
full,Full,3,L3,fold01,random_window,74.39475025484197,70.98151184240417,72.24705859930621,58.64949431035018,83.8800568998446,76.15492260189635,83.58208955223878,82.18810916179338,63.414634146341456,73.70543293718164,66.44736842105262,69.82393104434013,3.774327708005905,74.11363684000922
