mechanism,fold,target,target_label,outcome,baseline,perturbed,delta_perturb_minus_baseline,wrong_hole_delta,direction_delta,walking_delta
Maximum,fold01,2,L2,Stage-2 macro recall,74.65127124861137,69.01855519922866,-5.632716049382708,-4.398148148148138,-6.25,-6.25
Maximum,fold01,3,L3,Hesitating recall,63.41463414634146,63.41463414634146,0.0,0.0,-1.6129032258064626,0.0
Maximum,fold01,5,L5,Walking recall,66.44736842105263,59.58646616541354,-6.86090225563909,-3.2894736842105203,-3.2894736842105203,-6.86090225563909
Maximum,fold02,2,L2,Stage-2 macro recall,74.43908312966037,73.41850283276429,-1.0205802968960853,1.5435222672064697,-2.30263157894737,-2.30263157894737
Maximum,fold02,3,L3,Hesitating recall,85.0,85.0,0.0,0.0,-1.6129032258064484,0.0
Maximum,fold02,5,L5,Walking recall,70.34774436090225,61.560150375939855,-8.787593984962399,-1.6447368421052602,-1.6447368421052602,-8.787593984962399
Maximum,fold03,2,L2,Stage-2 macro recall,74.35590371710917,70.1133261192684,-4.2425775978407785,-6.8066801619433335,-2.9605263157894797,-2.9605263157894797
Maximum,fold03,3,L3,Hesitating recall,70.0,72.5,2.5,0.0,0.0,0.0
Maximum,fold03,5,L5,Walking recall,58.6936090225564,56.71992481203007,-1.9736842105263293,-1.973684210526315,-1.9736842105263293,-1.9736842105263293
Attention shuffle,fold01,2,L2,Stage-2 macro recall,74.65127124861137,72.92531283405647,-1.7259584145548956,0.743177387914244,-2.9605263157894797,-2.9605263157894726
Attention shuffle,fold01,3,L3,Hesitating recall,63.41463414634146,63.41463414634146,0.0,0.0,-1.6129032258064626,0.0
Attention shuffle,fold01,5,L5,Walking recall,66.44736842105263,55.07518796992481,-11.372180451127818,-0.6578947368420955,-0.6578947368421098,-11.372180451127818
Attention shuffle,fold02,2,L2,Stage-2 macro recall,74.43908312966037,75.1835000031095,0.7444168734491257,3.8461538461538396,-1.6129032258064484,0.0
Attention shuffle,fold02,3,L3,Hesitating recall,85.0,85.0,0.0,0.0,0.0,0.0
Attention shuffle,fold02,5,L5,Walking recall,70.34774436090225,68.75,-1.5977443609022544,1.973684210526315,1.973684210526315,-1.5977443609022544
Attention shuffle,fold03,2,L2,Stage-2 macro recall,74.35590371710917,66.26934893063925,-8.086554786469918,-8.830971659919044,-8.520797962648558,-6.907894736842117
Attention shuffle,fold03,3,L3,Hesitating recall,70.0,72.5,2.5,0.0,0.0,3.5714285714285694
Attention shuffle,fold03,5,L5,Walking recall,58.6936090225564,60.24436090225564,1.5507518796992414,-5.5921052631579045,-5.59210526315789,1.5507518796992414
Attention zero,fold01,2,L2,Stage-2 macro recall,74.65127124861137,76.79303171309397,2.1417604644826014,2.8386939571150265,2.599745331069613,0.9868421052631504
Attention zero,fold01,3,L3,Hesitating recall,63.41463414634146,63.41463414634146,0.0,0.0,-1.6129032258064626,0.0
Attention zero,fold01,5,L5,Walking recall,66.44736842105263,65.78947368421052,-0.6578947368421098,-0.6578947368420955,-0.6578947368421098,-0.6578947368421098
Attention zero,fold02,2,L2,Stage-2 macro recall,74.43908312966037,74.40534493802745,-0.03373819163292069,2.5303643724696343,-1.3157894736842053,-1.3157894736842195
Attention zero,fold02,3,L3,Hesitating recall,85.0,85.0,0.0,0.0,0.0,0.0
Attention zero,fold02,5,L5,Walking recall,70.34774436090225,64.80263157894737,-5.545112781954884,-1.973684210526315,-1.973684210526315,-5.545112781954884
Attention zero,fold03,2,L2,Stage-2 macro recall,74.35590371710917,72.05327213816177,-2.3026315789473983,-2.302631578947384,-2.30263157894737,-2.302631578947384
Attention zero,fold03,3,L3,Hesitating recall,70.0,70.0,0.0,0.0,0.0,0.0
Attention zero,fold03,5,L5,Walking recall,58.6936090225564,57.377819548872175,-1.3157894736842266,-1.3157894736842195,-1.3157894736842195,-1.3157894736842266
LSTM 50 ms,fold01,2,L2,Stage-2 macro recall,74.65127124861137,74.85995828879247,0.20868704018110407,-0.32894736842104066,1.2839558573853935,-0.3289473684210549
LSTM 50 ms,fold01,3,L3,Hesitating recall,63.41463414634146,63.41463414634146,0.0,0.0,-1.6129032258064626,0.0
LSTM 50 ms,fold01,5,L5,Walking recall,66.44736842105263,65.78947368421052,-0.6578947368421098,-0.6578947368420955,-0.6578947368421098,-0.6578947368421098
LSTM 50 ms,fold02,2,L2,Stage-2 macro recall,74.43908312966037,74.09326666542287,-0.345816464237501,0.9362348178137694,-0.9868421052631504,-0.9868421052631504
LSTM 50 ms,fold02,3,L3,Hesitating recall,85.0,85.0,0.0,0.0,0.0,0.0
LSTM 50 ms,fold02,5,L5,Walking recall,70.34774436090225,68.703007518797,-1.6447368421052602,-1.6447368421052602,-1.6447368421052602,-1.6447368421052602
LSTM 50 ms,fold03,2,L2,Stage-2 macro recall,74.35590371710917,74.02695634868809,-0.3289473684210833,-0.3289473684210549,-0.3289473684210691,-0.3289473684210691
LSTM 50 ms,fold03,3,L3,Hesitating recall,70.0,72.5,2.5,0.0,0.0,0.0
LSTM 50 ms,fold03,5,L5,Walking recall,58.6936090225564,58.36466165413533,-0.3289473684210691,-0.3289473684210549,-0.3289473684210691,-0.3289473684210691
LSTM 100 ms,fold01,2,L2,Stage-2 macro recall,74.65127124861137,73.66442914334822,-0.9868421052631504,-0.9868421052631504,-0.9868421052631646,-0.9868421052631504
LSTM 100 ms,fold01,3,L3,Hesitating recall,63.41463414634146,63.41463414634146,0.0,0.0,0.0,0.0
LSTM 100 ms,fold01,5,L5,Walking recall,66.44736842105263,65.46052631578948,-0.9868421052631504,-0.9868421052631504,-0.9868421052631646,-0.9868421052631504
LSTM 100 ms,fold02,2,L2,Stage-2 macro recall,74.43908312966037,74.75116140226497,0.31207827260459453,1.594129554655865,-0.3289473684210549,-0.3289473684210549
LSTM 100 ms,fold02,3,L3,Hesitating recall,85.0,85.0,0.0,0.0,0.0,0.0
LSTM 100 ms,fold02,5,L5,Walking recall,70.34774436090225,69.03195488721803,-1.3157894736842195,-1.3157894736842053,-1.3157894736842053,-1.3157894736842195
LSTM 100 ms,fold03,2,L2,Stage-2 macro recall,74.35590371710917,73.0569833392414,-1.2989203778677734,-2.5809716599190438,-0.6578947368421098,-0.6578947368421169
LSTM 100 ms,fold03,3,L3,Hesitating recall,70.0,72.5,2.5,0.0,0.0,0.0
LSTM 100 ms,fold03,5,L5,Walking recall,58.6936090225564,58.6936090225564,0.0,0.0,0.0,0.0
LSTM 200 ms,fold01,2,L2,Stage-2 macro recall,74.65127124861137,72.34863966966401,-2.3026315789473557,-2.3026315789473557,-2.30263157894737,-2.30263157894737
LSTM 200 ms,fold01,3,L3,Hesitating recall,63.41463414634146,63.41463414634146,0.0,0.0,0.0,0.0
LSTM 200 ms,fold01,5,L5,Walking recall,66.44736842105263,65.78947368421052,-0.6578947368421098,-0.6578947368420955,-0.6578947368421098,-0.6578947368421098
LSTM 200 ms,fold02,2,L2,Stage-2 macro recall,74.43908312966037,74.42221403384391,-0.016869095816460344,1.26518218623481,-0.6578947368421098,-0.6578947368421098
LSTM 200 ms,fold02,3,L3,Hesitating recall,85.0,85.0,0.0,0.0,0.0,0.0
LSTM 200 ms,fold02,5,L5,Walking recall,70.34774436090225,69.03195488721803,-1.3157894736842195,-1.3157894736842053,-1.3157894736842053,-1.3157894736842195
LSTM 200 ms,fold03,2,L2,Stage-2 macro recall,74.35590371710917,73.04011424342494,-1.3157894736842337,-1.3157894736842195,-1.3157894736842195,-1.3157894736842266
LSTM 200 ms,fold03,3,L3,Hesitating recall,70.0,72.5,2.5,0.0,0.0,0.0
LSTM 200 ms,fold03,5,L5,Walking recall,58.6936090225564,58.6936090225564,0.0,0.0,0.0,0.0
