comparison_id,comparison_label,comparison_family,stage,true_class,true_label,predicted_class,predicted_label,row_n,baseline_count,intervention_count,baseline_row_percent,intervention_row_percent,delta_row_pp
mask_max_L1,Maximum mask L1,input_mask,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
mask_max_L1,Maximum mask L1,input_mask,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,68,16.915422885572138,16.915422885572138,0.0
mask_max_L1,Maximum mask L1,input_mask,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
mask_max_L1,Maximum mask L1,input_mask,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,64,13.596491228070175,14.035087719298245,0.43859649122807015
mask_max_L1,Maximum mask L1,input_mask,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,385,85.08771929824562,84.4298245614035,-0.6578947368421053
mask_max_L1,Maximum mask L1,input_mask,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,7,1.3157894736842106,1.5350877192982457,0.21929824561403508
mask_max_L1,Maximum mask L1,input_mask,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
mask_max_L1,Maximum mask L1,input_mask,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,22,18.181818181818183,18.181818181818183,0.0
mask_max_L1,Maximum mask L1,input_mask,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,88,72.72727272727273,72.72727272727273,0.0
mask_max_L2,Maximum mask L2,input_mask,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,329,81.59203980099502,81.8407960199005,0.24875621890547264
mask_max_L2,Maximum mask L2,input_mask,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,67,16.915422885572138,16.666666666666668,-0.24875621890547264
mask_max_L2,Maximum mask L2,input_mask,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,91,13.596491228070175,19.95614035087719,6.359649122807017
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,353,85.08771929824562,77.41228070175438,-7.675438596491228
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,12,1.3157894736842106,2.6315789473684212,1.3157894736842106
mask_max_L2,Maximum mask L2,input_mask,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
mask_max_L2,Maximum mask L2,input_mask,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,22,18.181818181818183,18.181818181818183,0.0
mask_max_L2,Maximum mask L2,input_mask,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,88,72.72727272727273,72.72727272727273,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,68,16.915422885572138,16.915422885572138,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,62,13.596491228070175,13.596491228070175,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,388,85.08771929824562,85.08771929824562,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,6,1.3157894736842106,1.3157894736842106,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
mask_max_L3,Maximum mask L3,input_mask,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,21,18.181818181818183,17.355371900826448,-0.8264462809917356
mask_max_L3,Maximum mask L3,input_mask,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,89,72.72727272727273,73.55371900826447,0.8264462809917356
mask_max_L4,Maximum mask L4,input_mask,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
mask_max_L4,Maximum mask L4,input_mask,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,68,16.915422885572138,16.915422885572138,0.0
mask_max_L4,Maximum mask L4,input_mask,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
mask_max_L4,Maximum mask L4,input_mask,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,75,13.596491228070175,16.44736842105263,2.8508771929824563
mask_max_L4,Maximum mask L4,input_mask,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,372,85.08771929824562,81.57894736842105,-3.508771929824561
mask_max_L4,Maximum mask L4,input_mask,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,9,1.3157894736842106,1.9736842105263157,0.6578947368421053
mask_max_L4,Maximum mask L4,input_mask,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
mask_max_L4,Maximum mask L4,input_mask,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,22,18.181818181818183,18.181818181818183,0.0
mask_max_L4,Maximum mask L4,input_mask,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,88,72.72727272727273,72.72727272727273,0.0
mask_max_L5,Maximum mask L5,input_mask,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
mask_max_L5,Maximum mask L5,input_mask,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,68,16.915422885572138,16.915422885572138,0.0
mask_max_L5,Maximum mask L5,input_mask,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
mask_max_L5,Maximum mask L5,input_mask,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,76,13.596491228070175,16.666666666666668,3.0701754385964914
mask_max_L5,Maximum mask L5,input_mask,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,367,85.08771929824562,80.48245614035088,-4.605263157894737
mask_max_L5,Maximum mask L5,input_mask,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,13,1.3157894736842106,2.8508771929824563,1.5350877192982457
mask_max_L5,Maximum mask L5,input_mask,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
mask_max_L5,Maximum mask L5,input_mask,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,22,18.181818181818183,18.181818181818183,0.0
mask_max_L5,Maximum mask L5,input_mask,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,88,72.72727272727273,72.72727272727273,0.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,68,16.915422885572138,16.915422885572138,0.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,68,13.596491228070175,14.912280701754385,1.3157894736842106
attention_zero_L2,Attention zero L2,attention_intervention,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,380,85.08771929824562,83.33333333333333,-1.7543859649122806
attention_zero_L2,Attention zero L2,attention_intervention,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,8,1.3157894736842106,1.7543859649122806,0.43859649122807015
attention_zero_L2,Attention zero L2,attention_intervention,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,22,18.181818181818183,18.181818181818183,0.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,88,72.72727272727273,72.72727272727273,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,68,16.915422885572138,16.915422885572138,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,62,13.596491228070175,13.596491228070175,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,388,85.08771929824562,85.08771929824562,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,6,1.3157894736842106,1.3157894736842106,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,11,9.090909090909092,9.090909090909092,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,22,18.181818181818183,18.181818181818183,0.0
attention_zero_L3,Attention zero L3,attention_intervention,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,88,72.72727272727273,72.72727272727273,0.0
attention_zero_L5,Attention zero L5,attention_intervention,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,328,81.59203980099502,81.59203980099502,0.0
