window_ms,label,label_name,time_s,n_1246,n_35,mean_1246,mean_35,t_stat,df,p_value,significance,offset_bin
10,1,Hole Exploration,-0.69,26,29,0.233507,1.635741,-2.171736,53,0.03437132,*,-69
10,1,Hole Exploration,-0.15,26,29,1.782583,-0.022168,2.143731,53,0.03666148,*,-15
10,2,Wrong Hole Exploration,-0.57,36,66,2.702409,1.099816,1.994324,100,0.04883896,*,-57
10,2,Wrong Hole Exploration,-0.39,36,66,5.195406,1.064617,2.098007,100,0.03842502,*,-39
10,2,Wrong Hole Exploration,0.06,36,66,2.98211,0.634331,2.507952,100,0.01375229,*,6
10,2,Wrong Hole Exploration,0.46,36,66,2.603534,0.495777,2.2083,100,0.0295075,*,46
10,2,Wrong Hole Exploration,0.82,36,66,2.944881,0.515928,2.255486,100,0.02628156,*,82
10,3,Hesitating,-0.08,12,12,0.018057,4.833519,-2.083361,22,0.04904798,*,-8
10,3,Hesitating,0.42,12,12,-0.001071,3.762195,-2.142946,22,0.04343265,*,42
10,3,Hesitating,0.65,12,12,0.366978,3.329594,-2.075999,22,0.04978531,*,65
10,3,Hesitating,0.95,12,12,0.43801,4.115663,-2.830314,22,0.00974027,**,95
10,4,Changing Direction,-0.56,38,57,4.55931,0.82569,2.1392,93,0.03503858,*,-56
10,4,Changing Direction,-0.55,38,57,3.798415,0.520026,2.028171,93,0.04540318,*,-55
10,5,Walking,0.0,35,68,1.282635,4.338854,-2.186462,101,0.0310907,*,0
10,5,Walking,0.04,35,68,0.947195,3.380013,-2.075154,101,0.04051368,*,4
10,5,Walking,0.05,35,68,1.270826,4.084229,-2.052119,101,0.04274495,*,5
10,5,Walking,0.06,35,68,0.707757,3.731551,-2.330498,101,0.02176828,*,6
10,5,Walking,0.07,35,68,1.143728,4.051255,-2.015316,101,0.04652838,*,7
10,5,Walking,0.08,35,68,1.117137,3.60762,-2.043627,101,0.04359365,*,8
10,5,Walking,0.12,35,68,0.556335,3.997077,-2.044096,101,0.04354642,*,12
10,5,Walking,0.13,35,68,1.212937,3.879507,-2.030521,101,0.04493186,*,13
10,5,Walking,0.33,35,68,0.738566,3.621152,-2.513103,101,0.01354893,*,33
10,5,Walking,0.35,35,68,0.745774,3.543863,-2.159714,101,0.0331613,*,35
10,5,Walking,0.7,35,68,0.564963,3.729327,-2.166842,101,0.03259813,*,70
