target,target_label,outcome,metric_key,condition,architecture,architecture_label,baseline_mean,baseline_sd,perturbed_mean,perturbed_sd,delta_mean_pp,delta_sd_pp,delta_bootstrap_ci95_low_pp,delta_bootstrap_ci95_high_pp,n_folds
2,L2,Stage-2 macro recall,stage2_macro_recall,maximum,full,Full,74.48208603179363,0.1523070315525153,70.85012805042044,2.290642400894561,-3.6319579813731857,2.365922924960278,-5.632716049382708,-1.020580296896085,3
2,L2,Stage-2 macro recall,stage2_macro_recall,maximum,no_conv,NoConv,66.74361122224732,4.307284682333563,62.17843484043258,3.7478163154446147,-4.565176381814749,1.986945921710975,-6.787634408602152,-2.960526315789465,3
2,L2,Stage-2 macro recall,stage2_macro_recall,maximum,no_lstm,NoLSTM,68.55798723135075,3.937490602172653,61.72456047833335,2.903662003508261,-6.833426753017394,3.6773993035726833,-10.77404158544509,-3.4931077694235526,3
2,L2,Stage-2 macro recall,stage2_macro_recall,maximum,no_attention,NoAttention,71.51544050596117,5.1255921248145935,65.2093325515793,6.353761085885547,-6.306107954381858,3.3285882305951637,-9.86684902219706,-3.27260458839406,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_shuffle,full,Full,74.48208603179363,0.1523070315525153,71.85621265276046,3.240439181499371,-2.625873379033166,3.186123579521384,-5.926105586547024,0.4323386008445311,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_shuffle,no_conv,NoConv,66.74361122224732,4.307284682333563,57.06168067750789,6.148229768315375,-9.681930544739446,3.357414099548764,-12.997023622377334,-6.283738191632928,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_shuffle,no_lstm,NoLSTM,68.55798723135075,3.937490602172653,61.93478451896675,3.0754128010251818,-6.623202712383995,6.785781872294563,-12.574705995758634,0.7663389242336649,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_shuffle,no_attention,NoAttention,71.51544050596117,5.1255921248145935,71.51544050596117,5.1255921248145935,0.0,0.0,0.0,0.0,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_zero,full,Full,74.48208603179363,0.1523070315525153,74.4172162630944,2.369902087283246,-0.06486976869923448,2.2223595659217517,-2.302631578947384,2.1417604644826014,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_zero,no_conv,NoConv,66.74361122224732,4.307284682333563,65.13333812428321,4.654394032526254,-1.6102730979641013,0.9187623104870754,-2.511318619128474,-0.6747638326585701,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_zero,no_lstm,NoLSTM,68.55798723135075,3.937490602172653,66.84537236084115,4.934368721429639,-1.7126148705096067,1.5068835463322057,-2.83521303258145,0.0,3
2,L2,Stage-2 macro recall,stage2_macro_recall,attention_zero,no_attention,NoAttention,71.51544050596117,5.1255921248145935,70.5421353294396,4.013367103684937,-0.9733051765215492,1.2030415639447072,-2.30263157894737,0.0406107862248177,3
