comparison_id,comparison_label,comparison_family,target_label,intervention_condition,baseline_architecture,intervention_architecture,stage,fold,scope,class_id,class_label,n,CC,CW,WC,WW,baseline_correct_n,baseline_wrong_n,damage_rate_percent,recovery_rate_percent,net_correct_change,baseline_accuracy_percent,intervention_accuracy_percent,accuracy_delta_pp,discordant_n,mcnemar_exact_p,mcnemar_bh_q
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold01,overall,-1,All stage samples,327,263,1,0,63,264,63,0.3787878787878788,0.0,-1,80.73394495412845,80.42813455657492,-0.3058103975535168,1,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold01,true_class,0,L1 Hole exploration,134,112,0,0,22,112,22,0.0,0.0,0,83.58208955223881,83.58208955223881,0.0,0,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold01,true_class,1,Gate: L2/L4/L5,152,125,1,0,26,126,26,0.7936507936507936,0.0,-1,82.89473684210526,82.23684210526316,-0.6578947368421053,1,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,fold01,true_class,2,L3 Hesitating,41,26,0,0,15,26,15,0.0,0.0,0,63.41463414634146,63.41463414634146,0.0,0,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,fold01,overall,-1,All stage samples,327,241,23,4,59,264,63,8.712121212121213,6.349206349206349,-19,80.73394495412845,74.92354740061162,-5.81039755351682,27,0.000310748815536499,0.021834236383438115
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,fold01,true_class,0,L1 Hole exploration,134,112,0,0,22,112,22,0.0,0.0,0,83.58208955223881,83.58208955223881,0.0,0,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,fold01,true_class,1,Gate: L2/L4/L5,152,103,23,4,22,126,26,18.253968253968253,15.384615384615385,-19,82.89473684210526,70.39473684210526,-12.5,27,0.000310748815536499,0.021834236383438115
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,fold01,true_class,2,L3 Hesitating,41,26,0,0,15,26,15,0.0,0.0,0,63.41463414634146,63.41463414634146,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,fold01,overall,-1,All stage samples,327,264,0,0,63,264,63,0.0,0.0,0,80.73394495412845,80.73394495412845,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,fold01,true_class,0,L1 Hole exploration,134,112,0,0,22,112,22,0.0,0.0,0,83.58208955223881,83.58208955223881,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,fold01,true_class,1,Gate: L2/L4/L5,152,126,0,0,26,126,26,0.0,0.0,0,82.89473684210526,82.89473684210526,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,fold01,true_class,2,L3 Hesitating,41,26,0,0,15,26,15,0.0,0.0,0,63.41463414634146,63.41463414634146,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,fold01,overall,-1,All stage samples,327,256,8,3,60,264,63,3.0303030303030303,4.761904761904762,-5,80.73394495412845,79.20489296636086,-1.529051987767584,11,0.2265625,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,fold01,true_class,0,L1 Hole exploration,134,112,0,0,22,112,22,0.0,0.0,0,83.58208955223881,83.58208955223881,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,fold01,true_class,1,Gate: L2/L4/L5,152,118,8,3,23,126,26,6.349206349206349,11.538461538461538,-5,82.89473684210526,79.60526315789474,-3.289473684210526,11,0.2265625,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,fold01,true_class,2,L3 Hesitating,41,26,0,0,15,26,15,0.0,0.0,0,63.41463414634146,63.41463414634146,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run1,fold01,overall,-1,All stage samples,327,249,15,5,58,264,63,5.681818181818182,7.936507936507937,-10,80.73394495412845,77.67584097859327,-3.058103975535168,20,0.04138946533203125,0.5348792442908654
