comparison_id,comparison_label,comparison_family,target_label,intervention_condition,baseline_architecture,intervention_architecture,stage,scope,class_id,class_label,n,CC,CW,WC,WW,baseline_correct_n,baseline_wrong_n,damage_rate_percent,recovery_rate_percent,net_correct_change,baseline_accuracy_percent,intervention_accuracy_percent,accuracy_delta_pp,discordant_n,mcnemar_exact_p,mcnemar_bh_q
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,overall,-1,All stage samples,979,801,3,0,175,804,175,0.373134328358209,0.0,-3,82.12461695607763,81.81818181818181,-0.30643513789581206,3,0.25,0.875
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,true_class,1,Gate: L2/L4/L5,456,385,3,0,68,388,68,0.7731958762886598,0.0,-3,85.08771929824562,84.4298245614035,-0.6578947368421053,3,0.25,0.875
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,overall,-1,All stage samples,979,761,43,9,166,804,175,5.348258706467662,5.142857142857143,-34,82.12461695607763,78.65168539325843,-3.4729315628192032,52,2.0377698612961126e-06,0.0001141151122325823
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,1,73,328,74,0.0,1.3513513513513513,1,81.59203980099502,81.8407960199005,0.24875621890547264,1,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,true_class,1,Gate: L2/L4/L5,456,345,43,8,60,388,68,11.082474226804123,11.764705882352942,-35,85.08771929824562,77.41228070175438,-7.675438596491228,51,6.867117736675254e-07,7.691171865076285e-05
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,overall,-1,All stage samples,979,804,0,1,174,804,175,0.0,0.5714285714285714,1,82.12461695607763,82.2267620020429,0.10214504596527069,1,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,true_class,1,Gate: L2/L4/L5,456,388,0,0,68,388,68,0.0,0.0,0,85.08771929824562,85.08771929824562,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run1,true_class,2,L3 Hesitating,121,88,0,1,32,88,33,0.0,3.0303030303030303,1,72.72727272727273,73.55371900826447,0.8264462809917356,1,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,overall,-1,All stage samples,979,782,22,6,169,804,175,2.736318407960199,3.4285714285714284,-16,82.12461695607763,80.4902962206333,-1.634320735444331,28,0.0037191659212112427,0.03471221526463827
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,true_class,1,Gate: L2/L4/L5,456,366,22,6,62,388,68,5.670103092783505,8.823529411764707,-16,85.08771929824562,81.57894736842105,-3.508771929824561,28,0.0037191659212112427,0.03471221526463827
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run1,overall,-1,All stage samples,979,774,30,9,166,804,175,3.7313432835820897,5.142857142857143,-21,82.12461695607763,79.97957099080695,-2.1450459652706844,39,0.0010650196345523,0.01192821990698576
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run1,true_class,1,Gate: L2/L4/L5,456,358,30,9,59,388,68,7.731958762886598,13.235294117647058,-21,85.08771929824562,80.48245614035088,-4.605263157894737,39,0.0010650196345523,0.01192821990698576
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run1,overall,-1,All stage samples,979,788,16,8,167,804,175,1.9900497512437811,4.571428571428571,-8,82.12461695607763,81.30745658835546,-0.8171603677221655,24,0.15158963203430176,0.6791215515136719
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run1,true_class,1,Gate: L2/L4/L5,456,372,16,8,60,388,68,4.123711340206185,11.764705882352942,-8,85.08771929824562,83.33333333333333,-1.7543859649122806,24,0.15158963203430176,0.6791215515136719
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run1,overall,-1,All stage samples,979,804,0,0,175,804,175,0.0,0.0,0,82.12461695607763,82.12461695607763,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run1,true_class,1,Gate: L2/L4/L5,456,388,0,0,68,388,68,0.0,0.0,0,85.08771929824562,85.08771929824562,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run1,overall,-1,All stage samples,979,784,20,8,167,804,175,2.487562189054726,4.571428571428571,-12,82.12461695607763,80.89887640449439,-1.2257405515832482,28,0.03569813817739487,0.20477450812364859
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run1,true_class,0,L1 Hole exploration,402,328,0,0,74,328,74,0.0,0.0,0,81.59203980099502,81.59203980099502,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run1,true_class,1,Gate: L2/L4/L5,456,368,20,8,60,388,68,5.154639175257732,11.764705882352942,-12,85.08771929824562,82.45614035087719,-2.6315789473684212,28,0.03569813817739487,0.20477450812364859
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run1,true_class,2,L3 Hesitating,121,88,0,0,33,88,33,0.0,0.0,0,72.72727272727273,72.72727272727273,0.0,0,1.0,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run1,overall,-1,All stage samples,979,761,43,11,164,804,175,5.348258706467662,6.285714285714286,-32,82.12461695607763,78.85597548518896,-3.268641470888662,54,1.401305745618586e-05,0.0005231541450309388
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run1,true_class,0,L1 Hole exploration,402,326,2,0,74,328,74,0.6097560975609756,0.0,-2,81.59203980099502,81.09452736318408,-0.4975124378109453,2,0.5,1.0
