comparison_id,comparison_label,comparison_family,stage,true_class,true_label,transition,other_class,other_label,count,within_transition_percent
mask_max_L1,Maximum mask L1,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,2,66.66666666666667
mask_max_L1,Maximum mask L1,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,1,33.333333333333336
mask_max_L2,Maximum mask L2,input_mask,run1,0,L1 Hole exploration,WC_recovery,1,Gate: L2/L4/L5,1,100.0
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,35,81.3953488372093
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,8,18.6046511627907
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,WC_recovery,0,L1 Hole exploration,6,75.0
mask_max_L2,Maximum mask L2,input_mask,run1,1,Gate: L2/L4/L5,WC_recovery,2,L3 Hesitating,2,25.0
mask_max_L3,Maximum mask L3,input_mask,run1,2,L3 Hesitating,WC_recovery,1,Gate: L2/L4/L5,1,100.0
mask_max_L4,Maximum mask L4,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,19,86.36363636363636
mask_max_L4,Maximum mask L4,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,3,13.636363636363637
mask_max_L4,Maximum mask L4,input_mask,run1,1,Gate: L2/L4/L5,WC_recovery,0,L1 Hole exploration,6,100.0
mask_max_L5,Maximum mask L5,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,24,80.0
mask_max_L5,Maximum mask L5,input_mask,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,6,20.0
mask_max_L5,Maximum mask L5,input_mask,run1,1,Gate: L2/L4/L5,WC_recovery,0,L1 Hole exploration,9,100.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,1,Gate: L2/L4/L5,CW_damage,0,L1 Hole exploration,12,75.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,1,Gate: L2/L4/L5,CW_damage,2,L3 Hesitating,4,25.0
attention_zero_L2,Attention zero L2,attention_intervention,run1,1,Gate: L2/L4/L5,WC_recovery,0,L1 Hole exploration,6,75.0
